time,ATOM,IRIS
2021-08-22 06:00:00,210896966786.0,24432587873931.0
2021-08-22 12:00:00,210649353591.0,24480070660575.0
2021-08-22 18:00:00,211331945620.0,24179577977626.0
2021-08-23 00:00:00,213384545042.0,24038947256982.0
2021-08-23 06:00:00,211841139744.0,24328933786456.0
2021-08-23 12:00:00,212036139655.0,24296806827354.0
2021-08-23 18:00:00,212818765337.0,24171912703551.0
2021-08-24 00:00:00,212467151190.0,24438483426458.0
2021-08-24 06:00:00,211763073939.0,24268032301114.0
2021-08-24 12:00:00,210959737029.0,24408941498171.0
2021-08-24 18:00:00,211619474481.0,24278277603444.0
