time,AKT,OSMO
2021-08-12 12:00:00,1920781578086.0,2585009452601.0
2021-08-12 18:00:00,1918084595965.0,2629637289907.0
2021-08-13 00:00:00,1995011970071.0,2590415665657.0
2021-08-13 06:00:00,1992582860918.0,2593794900336.0
2021-08-13 12:00:00,2022807815919.0,2558669106957.0
2021-08-13 18:00:00,2068426098789.0,2549074824495.0
2021-08-14 00:00:00,2100123424777.0,2593600899075.0
2021-08-14 06:00:00,2125661049186.0,2578138030861.0
2021-08-14 12:00:00,2131088160076.0,2584763661794.0
2021-08-14 18:00:00,2137536754812.0,2598621603622.0
2021-08-15 00:00:00,2152375538034.0,2599363520060.0
2021-08-15 06:00:00,2167368344316.0,2593753542354.0
2021-08-15 12:00:00,2163472902837.0,2607575294547.0
2021-08-15 18:00:00,2183669466869.0,2634288558759.0
2021-08-16 00:00:00,2186256968251.0,2634096332853.0
2021-08-16 06:00:00,2207171594569.0,2616846663588.0
2021-08-16 12:00:00,2372057640318.0,2699833183338.0
2021-08-16 18:00:00,2379766885093.0,2747403751042.0
2021-08-17 00:00:00,2336047462366.0,2789986626245.0
2021-08-17 06:00:00,2282062798132.0,2728337158899.0
2021-08-17 12:00:00,2335659036925.0,2759421847063.0
2021-08-17 18:00:00,2333169748475.0,2777173234501.0
2021-08-18 00:00:00,2322903418748.0,2786390719370.0
2021-08-18 06:00:00,2342537987558.0,2782977195663.0
2021-08-18 12:00:00,2373070358647.0,2788924097852.0
2021-08-18 18:00:00,2418611779005.0,2750203117750.0
2021-08-19 00:00:00,2454651340845.0,2744059628789.0
2021-08-19 06:00:00,2517683530947.0,2729937084385.0
2021-08-19 12:00:00,2517994506995.0,2761092687823.0
2021-08-19 18:00:00,2521124141013.0,2778715022518.0
2021-08-20 00:00:00,2632094777637.0,2846979536861.0
2021-08-20 06:00:00,2655478274069.0,2828979628752.0
2021-08-20 12:00:00,2670095617885.0,2830845637460.0
2021-08-20 18:00:00,2740979853534.0,2940467926016.0
2021-08-21 00:00:00,2738099822234.0,2966279799128.0
2021-08-21 06:00:00,2757420843033.0,2956715178589.0
2021-08-21 12:00:00,2796824102714.0,2921823401503.0
2021-08-21 18:00:00,2838767047732.0,2893853840493.0
2021-08-22 00:00:00,2853334143491.0,2893471928078.0
2021-08-22 06:00:00,2866546235178.0,2888336728914.0
2021-08-22 12:00:00,2881743834243.0,2877391514803.0
2021-08-22 18:00:00,2888377647061.0,2884037741900.0
2021-08-23 00:00:00,2922124834352.0,2874602508627.0
2021-08-23 06:00:00,2955722868568.0,2871316794481.0
2021-08-23 12:00:00,2981918174561.0,2867142584567.0
2021-08-23 18:00:00,2996189797293.0,2874448010785.0
2021-08-24 00:00:00,3006498072221.0,2883688823628.0
2021-08-24 06:00:00,3008005538418.0,2890799773767.0
2021-08-24 12:00:00,3009991897688.0,2891463714517.0
2021-08-24 18:00:00,2952899055884.0,2976339896724.0
