time,AKT,ATOM
2021-08-24 18:00:00,4154653890226.0,338940212124.0
2021-08-25 00:00:00,4175932442021.0,339456741493.0
2021-08-25 06:00:00,4179758985643.0,337197803543.0
2021-08-25 12:00:00,4155172388803.0,340966214853.0
2021-08-25 18:00:00,4233857386591.0,344849921410.0
2021-08-26 00:00:00,4214249811613.0,339988390735.0
2021-08-26 06:00:00,4177650582983.0,347246991795.0
2021-08-26 12:00:00,4159713832493.0,351182230926.0
2021-08-26 18:00:00,4162359211302.0,350952383888.0
2021-08-27 00:00:00,4167203270241.0,349854382388.0
2021-08-27 06:00:00,4154860505922.0,352046487794.0
2021-08-27 12:00:00,4162192677477.0,350894789989.0
2021-08-27 18:00:00,4123349831281.0,344600038527.0
